client_id,snapshot_date,business_name,store_type,zone,registration_date,first_purchase_date,last_purchase_date,length_reference_date,length_source,has_transactions,length_days,recency_days,frequency,monetary,volume,L,R,F,M,V,n_transactions,frequency_last_3_months,frequency_previous_3_months,delta_frequency,es_nuevo,low_history_flag,churn_eligible
CLI-0035,2025-06-30,Licorería La Económica,licoreria,El Tambo,2022-07-01,2022-07-02,2023-10-04,2022-07-02,first_purchase_date,True,1094,635.0,0,0.0,0,1094,635.0,0,0.0,0,31,0,0,0,False,False,True
CLI-0036,2025-06-30,Bodega La Económica,bodega,El Tambo,2021-10-30,2021-10-04,2025-06-29,2021-10-04,first_purchase_date,True,1365,1.0,27,3445.28,3,1365,1.0,27,3445.28,3,193,14,13,1,False,False,True
CLI-0037,2025-06-30,Bodega Santa Rosa,bodega,San Carlos,2022-12-27,2022-12-07,2025-06-17,2022-12-07,first_purchase_date,True,936,13.0,14,1391.33,2,936,13.0,14,1391.33,2,73,6,8,-2,False,False,True
CLI-0038,2025-06-30,Bodega Los Andes,bodega,Chilca,2022-03-29,2022-03-01,2025-01-17,2022-03-01,first_purchase_date,True,1217,164.0,2,134.69,2,1217,164.0,2,134.69,2,113,0,2,-2,False,False,True
CLI-0039,2025-06-30,Restaurant El Paraíso,restaurante,El Tambo,2021-10-21,2021-10-14,2025-06-26,2021-10-14,first_purchase_date,True,1355,4.0,29,2350.62,2,1355,4.0,29,2350.62,2,127,16,13,3,False,False,True
CLI-0040,2025-06-30,Bodega El Buen Precio,bodega,Chilca,2022-02-11,2022-03-01,2025-06-28,2022-03-01,first_purchase_date,True,1217,2.0,25,3900.37,3,1217,2.0,25,3900.37,3,182,13,12,1,False,False,True
CLI-0041,2025-06-30,Licorería Virgen de Cocharcas,licoreria,Huancayo Cercado,2021-11-11,2021-11-15,2025-06-27,2021-11-15,first_purchase_date,True,1323,3.0,24,2118.39,3,1323,3.0,24,2118.39,3,199,8,16,-8,False,False,True
CLI-0042,2025-06-30,Minimarket Mantaro,bodega,Huancayo Centro,2021-01-21,2021-01-04,2025-02-18,2021-01-04,first_purchase_date,True,1638,132.0,3,489.2,2,1638,132.0,3,489.2,2,196,0,3,-3,False,False,True
CLI-0043,2025-06-30,Bodega Virgen de Cocharcas,bodega,Huancayo Cercado,2021-10-20,2021-10-09,2025-06-10,2021-10-09,first_purchase_date,True,1360,20.0,15,1557.62,3,1360,20.0,15,1557.62,3,172,6,9,-3,False,False,True
CLI-0044,2025-06-30,Bodega Los Andes,bodega,Huancayo Centro,2021-04-09,2021-04-03,2025-06-20,2021-04-03,first_purchase_date,True,1549,10.0,23,4966.57,3,1549,10.0,23,4966.57,3,200,11,12,-1,False,False,True
CLI-0045,2025-06-30,Restaurant El Buen Precio,restaurante,El Tambo,2022-01-11,2022-01-02,2024-08-31,2022-01-02,first_purchase_date,True,1275,303.0,0,0.0,0,1275,303.0,0,0.0,0,113,0,0,0,False,False,True
CLI-0046,2025-06-30,Cevichería La Familia,restaurante,San Carlos,2025-06-01,2025-06-02,2025-06-11,2025-06-02,first_purchase_date,True,28,19.0,3,364.15,1,28,19.0,3,364.15,1,3,3,0,3,True,False,False
CLI-0047,2025-06-30,Minimarket Mantaro,bodega,Huancayo Centro,2022-03-04,2022-03-16,2025-06-29,2022-03-16,first_purchase_date,True,1202,1.0,20,2236.92,3,1202,1.0,20,2236.92,3,169,8,12,-4,False,False,True
CLI-0048,2025-06-30,Minimarket Los Andes,bodega,Huancayo Cercado,2021-12-15,2021-12-04,2025-06-16,2021-12-04,first_purchase_date,True,1304,14.0,17,2530.26,3,1304,14.0,17,2530.26,3,187,7,10,-3,False,False,True
CLI-0049,2025-06-30,Tienda Mantaro,bodega,Huancayo Cercado,2022-03-09,2022-03-06,2025-06-11,2022-03-06,first_purchase_date,True,1212,19.0,23,2452.88,3,1212,19.0,23,2452.88,3,168,9,14,-5,False,False,True
CLI-0050,2025-06-30,Bodega El Buen Precio,bodega,El Tambo,2022-05-15,2022-05-09,2025-06-23,2022-05-09,first_purchase_date,True,1148,7.0,25,2946.27,3,1148,7.0,25,2946.27,3,162,12,13,-1,False,False,True
CLI-0051,2025-06-30,Tienda El Ahorro,bodega,El Tambo,2021-11-22,2021-11-09,2024-03-15,2021-11-09,first_purchase_date,True,1329,472.0,0,0.0,0,1329,472.0,0,0.0,0,121,0,0,0,False,False,True
CLI-0052,2025-06-30,Minimarket Los Olivos,bodega,Huancayo Centro,2022-04-15,2022-04-04,2025-06-26,2022-04-04,first_purchase_date,True,1183,4.0,19,2362.6,3,1183,4.0,19,2362.6,3,148,8,11,-3,False,False,True
CLI-0053,2025-06-30,Pollería Los Olivos,restaurante,Huancayo Centro,2025-06-29,2025-06-08,2025-06-18,2025-06-08,first_purchase_date,True,22,12.0,4,210.59,2,22,12.0,4,210.59,2,4,4,0,4,True,False,False
CLI-0054,2025-06-30,Bodega La Económica,bodega,Huancayo Cercado,2023-11-01,2023-11-06,2024-10-27,2023-11-06,first_purchase_date,True,602,246.0,0,0.0,0,602,246.0,0,0.0,0,27,0,0,0,False,False,True
CLI-0055,2025-06-30,Market El Sol,minimarket,El Tambo,2021-05-09,2021-05-08,2022-12-20,2021-05-08,first_purchase_date,True,1514,923.0,0,0.0,0,1514,923.0,0,0.0,0,82,0,0,0,False,False,True
CLI-0056,2025-06-30,Tienda La Familia,bodega,Huancayo Centro,2021-06-17,2021-06-03,2025-06-21,2021-06-03,first_purchase_date,True,1488,9.0,22,4841.29,4,1488,9.0,22,4841.29,4,194,14,8,6,False,False,True
CLI-0057,2025-06-30,Menú El Ahorro,restaurante,El Tambo,2022-03-10,2022-03-03,2025-06-17,2022-03-03,first_purchase_date,True,1215,13.0,26,3335.8,3,1215,13.0,26,3335.8,3,171,10,16,-6,False,False,True
CLI-0058,2025-06-30,Licorería El Centro,licoreria,Huancayo Centro,2021-02-26,2021-02-01,2025-06-22,2021-02-01,first_purchase_date,True,1610,8.0,29,6881.99,4,1610,8.0,29,6881.99,4,377,16,13,3,False,False,True
CLI-0059,2025-06-30,Mini Don José,minimarket,El Tambo,2025-04-28,2025-04-03,2025-06-26,2025-04-03,first_purchase_date,True,88,4.0,6,345.33,2,88,4.0,6,345.33,2,6,6,0,6,True,False,False
CLI-0060,2025-06-30,Menú La Económica,restaurante,San Carlos,2021-05-10,2021-05-02,2025-06-29,2021-05-02,first_purchase_date,True,1520,1.0,37,12701.64,4,1520,1.0,37,12701.64,4,382,17,20,-3,False,False,True
CLI-0061,2025-06-30,Minimarket El Tambo,bodega,Chilca,2021-06-24,2021-06-02,2025-06-24,2021-06-02,first_purchase_date,True,1489,6.0,18,6589.89,4,1489,6.0,18,6589.89,4,208,10,8,2,False,False,True
CLI-0062,2025-06-30,Minimarket Santa Isabel,minimarket,Huancayo Cercado,2025-03-21,2025-03-09,2025-06-22,2025-03-09,first_purchase_date,True,113,8.0,9,983.15,2,113,8.0,9,983.15,2,9,7,2,5,True,False,False
CLI-0063,2025-06-30,Tienda Santa Isabel,bodega,Huancayo Cercado,2025-05-03,2025-05-02,2025-06-09,2025-05-02,first_purchase_date,True,59,21.0,5,690.33,2,59,21.0,5,690.33,2,5,5,0,5,True,False,False
CLI-0064,2025-06-30,Minimarket Mantaro,minimarket,Huancayo Cercado,2021-01-16,2021-01-06,2025-06-20,2021-01-06,first_purchase_date,True,1636,10.0,8,952.15,2,1636,10.0,8,952.15,2,198,4,4,0,False,False,True
CLI-0065,2025-06-30,Bodega Santa Rosa,bodega,Huancayo Centro,2021-06-23,2021-06-02,2025-04-21,2021-06-02,first_purchase_date,True,1489,70.0,2,240.01,3,1489,70.0,2,240.01,3,155,1,1,0,False,False,True
CLI-0066,2025-06-30,Licores El Buen Precio,licoreria,Huancayo Centro,2023-07-19,2023-07-02,2024-11-04,2023-07-02,first_purchase_date,True,729,238.0,0,0.0,0,729,238.0,0,0.0,0,40,0,0,0,False,False,True
CLI-0067,2025-06-30,Minimarket Doña María,bodega,Huancayo Centro,2021-10-26,2021-10-01,2025-04-29,2021-10-01,first_purchase_date,True,1368,62.0,19,3002.11,3,1368,62.0,19,3002.11,3,188,5,14,-9,False,False,True
CLI-0068,2025-06-30,Minimarket El Paraíso,bodega,Huancayo Centro,2022-04-09,2022-04-05,2025-06-29,2022-04-05,first_purchase_date,True,1182,1.0,14,1434.4,3,1182,1.0,14,1434.4,3,159,5,9,-4,False,False,True
CLI-0069,2025-06-30,Mini El Progreso,minimarket,El Tambo,2021-03-24,2021-03-01,2024-07-03,2021-03-01,first_purchase_date,True,1582,362.0,0,0.0,0,1582,362.0,0,0.0,0,278,0,0,0,False,False,True
CLI-0070,2025-06-30,Licorería Wanka,licoreria,Huancayo Centro,2021-04-05,2021-04-10,2024-07-23,2021-04-10,first_purchase_date,True,1542,342.0,0,0.0,0,1542,342.0,0,0.0,0,133,0,0,0,False,False,True
CLI-0071,2025-06-30,Licores Santa Rosa,licoreria,El Tambo,2021-10-20,2021-10-02,2025-06-29,2021-10-02,first_purchase_date,True,1367,1.0,38,4999.5,3,1367,1.0,38,4999.5,3,319,19,19,0,False,False,True
CLI-0072,2025-06-30,Bodega El Sol,bodega,San Carlos,2021-04-27,2021-04-02,2025-06-25,2021-04-02,first_purchase_date,True,1550,5.0,14,3550.45,4,1550,5.0,14,3550.45,4,194,6,8,-2,False,False,True
CLI-0073,2025-06-30,Minimarket El Paraíso,bodega,Huancayo Centro,2021-08-07,2021-08-01,2025-05-31,2021-08-01,first_purchase_date,True,1429,30.0,13,1314.27,3,1429,30.0,13,1314.27,3,138,5,8,-3,False,False,True
CLI-0074,2025-06-30,Bodega El Progreso,bodega,Huancayo Cercado,2021-08-13,2021-08-04,2025-06-17,2021-08-04,first_purchase_date,True,1426,13.0,31,3760.33,3,1426,13.0,31,3760.33,3,222,15,16,-1,False,False,True
CLI-0075,2025-06-30,Minimarket La Económica,bodega,El Tambo,2021-10-26,2021-10-07,2025-06-17,2021-10-07,first_purchase_date,True,1362,13.0,14,1710.84,3,1362,13.0,14,1710.84,3,179,6,8,-2,False,False,True
CLI-0076,2025-06-30,Minimarket Los Andes,bodega,Huancayo Cercado,2022-12-15,2022-12-08,2024-12-27,2022-12-08,first_purchase_date,True,935,185.0,0,0.0,0,935,185.0,0,0.0,0,53,0,0,0,False,False,True
CLI-0077,2025-06-30,Cevichería Santa Rosa,restaurante,El Tambo,2023-03-14,2023-03-11,2025-05-30,2023-03-11,first_purchase_date,True,842,31.0,12,860.39,2,842,31.0,12,860.39,2,64,3,9,-6,False,False,True
CLI-0078,2025-06-30,Tienda El Buen Precio,bodega,Huancayo Cercado,2025-05-24,2025-05-01,2025-06-28,2025-05-01,first_purchase_date,True,60,2.0,6,399.75,2,60,2.0,6,399.75,2,6,6,0,6,True,False,False
CLI-0079,2025-06-30,Tienda Los Olivos,bodega,Huancayo Centro,2021-02-06,2021-02-05,2025-06-25,2021-02-05,first_purchase_date,True,1606,5.0,24,3945.45,3,1606,5.0,24,3945.45,3,224,9,15,-6,False,False,True
CLI-0080,2025-06-30,Tienda El Sol,bodega,San Carlos,2021-01-17,2021-01-09,2023-04-23,2021-01-09,first_purchase_date,True,1633,799.0,0,0.0,0,1633,799.0,0,0.0,0,70,0,0,0,False,False,True
CLI-0081,2025-06-30,Licores El Sol,licoreria,Huancayo Cercado,2025-05-19,2025-05-06,2025-05-06,2025-05-06,first_purchase_date,True,55,55.0,1,55.86,2,55,55.0,1,55.86,2,1,1,0,1,True,True,False
CLI-0082,2025-06-30,Minimarket San Martín,bodega,Huancayo Cercado,2023-02-11,2023-02-06,2024-03-21,2023-02-06,first_purchase_date,True,875,466.0,0,0.0,0,875,466.0,0,0.0,0,39,0,0,0,False,False,True
CLI-0083,2025-06-30,Licores Mantaro,licoreria,Huancayo Centro,2023-05-27,2023-06-04,2025-06-30,2023-06-04,first_purchase_date,True,757,0.0,12,1520.35,2,757,0.0,12,1520.35,2,54,8,4,4,False,False,True
CLI-0084,2025-06-30,Minimarket Virgen de Cocharcas,bodega,El Tambo,2021-03-19,2021-03-17,2025-01-26,2021-03-17,first_purchase_date,True,1566,155.0,1,53.36,2,1566,155.0,1,53.36,2,164,0,1,-1,False,False,True
CLI-0085,2025-06-30,Menú San Martín,restaurante,Huancayo Centro,2021-04-15,2021-04-09,2025-06-30,2021-04-09,first_purchase_date,True,1543,0.0,43,3935.19,3,1543,0.0,43,3935.19,3,236,24,19,5,False,False,True
CLI-0086,2025-06-30,Tienda Wanka,bodega,El Tambo,2021-09-25,2021-10-10,2024-10-29,2021-10-10,first_purchase_date,True,1359,244.0,0,0.0,0,1359,244.0,0,0.0,0,150,0,0,0,False,False,True
CLI-0087,2025-06-30,Market Santa Isabel,minimarket,El Tambo,2023-03-25,2023-03-05,2025-06-30,2023-03-05,first_purchase_date,True,848,0.0,13,1045.68,2,848,0.0,13,1045.68,2,58,12,1,11,False,False,True
CLI-0088,2025-06-30,Market Los Olivos,minimarket,San Carlos,2021-07-04,2021-07-15,2025-04-14,2021-07-15,first_purchase_date,True,1446,77.0,6,389.9,2,1446,77.0,6,389.9,2,235,2,4,-2,False,False,True
CLI-0089,2025-06-30,Tienda Wanka,bodega,El Tambo,2025-06-29,2025-06-08,2025-06-18,2025-06-08,first_purchase_date,True,22,12.0,5,376.59999999999997,2,22,12.0,5,376.59999999999997,2,5,5,0,5,True,False,False
CLI-0090,2025-06-30,Tienda El Progreso,bodega,Huancayo Centro,2021-12-10,2021-12-15,2025-06-28,2021-12-15,first_purchase_date,True,1293,2.0,24,3006.51,3,1293,2.0,24,3006.51,3,169,14,10,4,False,False,True
CLI-0091,2025-06-30,Minimarket El Centro,bodega,Huancayo Cercado,2022-07-30,2022-09-08,2025-06-15,2022-09-08,first_purchase_date,True,1026,15.0,11,1236.57,2,1026,15.0,11,1236.57,2,54,7,4,3,False,False,True
CLI-0092,2025-06-30,Minimarket El Paraíso,minimarket,El Tambo,2022-06-20,2022-06-04,2025-06-29,2022-06-04,first_purchase_date,True,1122,1.0,23,2672.22,3,1122,1.0,23,2672.22,3,175,12,11,1,False,False,True
CLI-0093,2025-06-30,Minimarket El Paraíso,bodega,Chilca,2025-04-27,2025-04-26,2025-06-09,2025-04-26,first_purchase_date,True,65,21.0,3,196.5,2,65,21.0,3,196.5,2,3,3,0,3,True,False,False
CLI-0094,2025-06-30,Bodega Don José,bodega,San Carlos,2025-04-28,2025-04-16,2025-06-20,2025-04-16,first_purchase_date,True,75,10.0,4,239.01,2,75,10.0,4,239.01,2,4,4,0,4,True,False,False
CLI-0095,2025-06-30,Distribuidora Doña María,licoreria,Chilca,2021-05-12,2021-05-05,2024-10-30,2021-05-05,first_purchase_date,True,1517,243.0,0,0.0,0,1517,243.0,0,0.0,0,150,0,0,0,False,False,True
CLI-0096,2025-06-30,Restaurant Don José,restaurante,Huancayo Centro,2022-03-09,2022-03-03,2024-11-21,2022-03-03,first_purchase_date,True,1215,221.0,0,0.0,0,1215,221.0,0,0.0,0,118,0,0,0,False,False,True
CLI-0097,2025-06-30,Tienda Don José,bodega,Huancayo Cercado,2021-04-29,2021-04-04,2025-06-26,2021-04-04,first_purchase_date,True,1548,4.0,34,8592.4,4,1548,4.0,34,8592.4,4,241,20,14,6,False,False,True
CLI-0098,2025-06-30,Bodega Santa Isabel,bodega,Chilca,2025-06-05,2025-06-02,2025-06-14,2025-06-02,first_purchase_date,True,28,16.0,3,235.04000000000002,2,28,16.0,3,235.04000000000002,2,3,3,0,3,True,False,False
CLI-0099,2025-06-30,Mini Wanka,minimarket,Huancayo Centro,2022-01-17,2022-01-10,2024-11-17,2022-01-10,first_purchase_date,True,1267,225.0,0,0.0,0,1267,225.0,0,0.0,0,127,0,0,0,False,False,True
CLI-0100,2025-06-30,Tienda La Económica,bodega,Huancayo Centro,2023-01-05,2023-01-15,2025-06-24,2023-01-15,first_purchase_date,True,897,6.0,8,650.08,2,897,6.0,8,650.08,2,46,5,3,2,False,False,True
CLI-0101,2025-06-30,Menú El Progreso,restaurante,Huancayo Cercado,2022-01-03,2022-01-05,2025-06-20,2022-01-05,first_purchase_date,True,1272,10.0,13,1014.12,3,1272,10.0,13,1014.12,3,186,5,8,-3,False,False,True
CLI-0102,2025-06-30,Bodega La Económica,bodega,Chilca,2025-05-10,2025-05-06,2025-06-17,2025-05-06,first_purchase_date,True,55,13.0,7,675.39,2,55,13.0,7,675.39,2,7,7,0,7,True,False,False
CLI-0103,2025-06-30,Minimarket El Tambo,bodega,San Carlos,2021-04-30,2021-04-02,2025-06-24,2021-04-02,first_purchase_date,True,1550,6.0,29,3746.7400000000002,3,1550,6.0,29,3746.7400000000002,3,190,18,11,7,False,False,True
CLI-0104,2025-06-30,Tienda Wanka,bodega,Huancayo Cercado,2021-03-15,2021-03-04,2025-06-29,2021-03-04,first_purchase_date,True,1579,1.0,23,4280.14,3,1579,1.0,23,4280.14,3,203,11,12,-1,False,False,True
CLI-0105,2025-06-30,Licorería El Tambo,licoreria,Huancayo Cercado,2022-06-19,2022-06-19,2025-06-30,2022-06-19,first_purchase_date,True,1107,0.0,30,4955.58,3,1107,0.0,30,4955.58,3,187,17,13,4,False,False,True
CLI-0106,2025-06-30,Restaurant La Económica,restaurante,Huancayo Centro,2022-05-04,2022-05-05,2025-06-27,2022-05-05,first_purchase_date,True,1152,3.0,43,5873.8099999999995,3,1152,3.0,43,5873.8099999999995,3,254,26,17,9,False,False,True
CLI-0107,2025-06-30,Tienda Don José,bodega,El Tambo,2021-07-09,2021-07-03,2025-06-27,2021-07-03,first_purchase_date,True,1458,3.0,19,3548.17,3,1458,3.0,19,3548.17,3,192,7,12,-5,False,False,True
CLI-0108,2025-06-30,Mini El Paraíso,minimarket,El Tambo,2021-11-06,2021-11-05,2025-06-14,2021-11-05,first_purchase_date,True,1333,16.0,30,4173.44,2,1333,16.0,30,4173.44,2,147,11,19,-8,False,False,True
CLI-0109,2025-06-30,Cevichería El Tambo,restaurante,El Tambo,2021-07-07,2021-07-04,2023-04-26,2021-07-04,first_purchase_date,True,1457,796.0,0,0.0,0,1457,796.0,0,0.0,0,44,0,0,0,False,False,True
CLI-0110,2025-06-30,Tienda El Paraíso,bodega,El Tambo,2025-01-19,2025-01-19,2025-06-26,2025-01-19,first_purchase_date,True,162,4.0,8,776.39,2,162,4.0,8,776.39,2,8,4,4,0,True,False,False
CLI-0111,2025-06-30,Minimarket La Familia,bodega,Huancayo Centro,2021-02-17,2021-02-03,2025-06-27,2021-02-03,first_purchase_date,True,1608,3.0,19,6206.07,4,1608,3.0,19,6206.07,4,149,7,12,-5,False,False,True
CLI-0112,2025-06-30,Minimarket La Esquina,bodega,Huancayo Centro,2021-02-26,2021-02-03,2025-06-29,2021-02-03,first_purchase_date,True,1608,1.0,30,8167.7699999999995,4,1608,1.0,30,8167.7699999999995,4,209,16,14,2,False,False,True
CLI-0113,2025-06-30,Tienda San Martín,bodega,Huancayo Cercado,2021-08-15,2021-08-01,2024-05-25,2021-08-01,first_purchase_date,True,1429,401.0,0,0.0,0,1429,401.0,0,0.0,0,144,0,0,0,False,False,True
CLI-0114,2025-06-30,Minimarket El Buen Precio,bodega,El Tambo,2021-01-01,2021-01-15,2025-06-09,2021-01-15,first_purchase_date,True,1627,21.0,17,3553.85,3,1627,21.0,17,3553.85,3,248,9,8,1,False,False,True
